T;join
-3.75;24
-3.5;24
-3.25;24
-3;24
-2.75;24
-2.5;24
-2.25;24
-2;24
-1.75;24
-1.5;24
-1.25;24
-1;24
-0.75;24
-0.5;24
-0.25;24
0;24
0.25;24
0.5;24
0.75;24
1;24
1.25;24
1.5;24
1.75;24
2;24
2.25;24
2.5;24
2.75;24
3;24
3.25;24
3.5;24
3.75;24
4;24
4.25;24
4.5;24
4.75;24
5;24
5.25;24
5.5;24
5.75;24
6;24
6.25;24
6.5;24
-6.5;25
-6.25;25
-6;25
-5.75;25
-5.5;25
-5.25;25
-5;25
-4.75;25
-4.5;25
-4.25;25
-4;25
-3.75;25
-3.5;25
-3.25;25
-3;25
-2.75;25
-2.5;25
-2.25;25
-2;25
-1.75;25
-1.5;25
-1.25;25
-1;25
-0.75;25
-0.5;25
-0.25;25
0;25
0.25;25
0.5;25
0.75;25
1;25
1.25;25
1.5;25
1.75;25
2;25
2.25;25
2.5;25
2.75;25
3;25
3.25;25
3.5;25
3.75;25
4;25
4.25;25
4.5;25
4.75;25
5;25
5.25;25
5.5;25
5.75;25
6;25
6.25;25
6.5;25
-6.5;26
-6.25;26
-6;26
-5.75;26
-5.5;26
-5.25;26
-5;26
-4.75;26
-4.5;26
-4.25;26
-4;26
-3.75;26
-3.5;26
-3.25;26
-3;26
-2.75;26
-2.5;26
-2.25;26
-2;26
-1.75;26
-1.5;26
-1.25;26
-1;26
-0.75;26
-0.5;26
-0.25;26
0;26
0.25;26
0.5;26
0.75;26
1;26
1.25;26
1.5;26
1.75;26
2;26
2.25;26
2.5;26
2.75;26
3;26
3.25;26
3.5;26
3.75;26
4;26
4.25;26
4.5;26
4.75;26
5;26
5.25;26
5.5;26
5.75;26
6;26
6.25;26
6.5;26
-6.5;27
-6.25;27
-6;27
-5.75;27
-5.5;27
-5.25;27
-5;27
-4.75;27
-4.5;27
-4.25;27
-4;27
-3.75;27
-3.5;27
-3.25;27
-3;27
-2.75;27
-2.5;27
-2.25;27
-2;27
-1.75;27
-1.5;27
-1.25;27
-1;27
-0.75;27
-0.5;27
-0.25;27
0;27
0.25;27
0.5;27
0.75;27
1;27
1.25;27
1.5;27
1.75;27
2;27
2.25;27
2.5;27
2.75;27
3;27
3.25;27
3.5;27
3.75;27
4;27
4.25;27
4.5;27
4.75;27
5;27
5.25;27
5.5;27
5.75;27
6;27
6.25;27
6.5;27
-6.5;28
-6.25;28
-6;28
-5.75;28
-5.5;28
-5.25;28
-5;28
-4.75;28
-4.5;28
-4.25;28
-4;28
-3.75;28
-3.5;28
-3.25;28
-3;28
-2.75;28
-2.5;28
-2.25;28
-2;28
-1.75;28
-1.5;28
-1.25;28
-1;28
-0.75;28
-0.5;28
-0.25;28
0;28
0.25;28
0.5;28
0.75;28
1;28
1.25;28
1.5;28
1.75;28
2;28
2.25;28
2.5;28
2.75;28
3;28
3.25;28
3.5;28
3.75;28
4;28
4.25;28
4.5;28
4.75;28
5;28
5.25;28
5.5;28
5.75;28
6;28
6.25;28
6.5;28
-6.5;29
-6.25;29
-6;29
-5.75;29
-5.5;29
-5.25;29
-5;29
-4.75;29
-4.5;29
-4.25;29
-4;29
-3.75;29
-3.5;29
-3.25;29
-3;29
-2.75;29
-2.5;29
-2.25;29
-2;29
-1.75;29
-1.5;29
-1.25;29
-1;29
-0.75;29
-0.5;29
-0.25;29
0;29
0.25;29
0.5;29
0.75;29
1;29
1.25;29
1.5;29
1.75;29
2;29
2.25;29
2.5;29
2.75;29
3;29
3.25;29
3.5;29
3.75;29
4;29
